ann_no,category,recruitment_status,title,provider,business_type_code,business_type_name,recruit_status_code,recruit_status_name,recruit_type_code,recruit_type_name,apply_period,apply_start,apply_end,selection_announcement,dday,recruit_count,occupation_code,occupation_name,work_condition_code,work_condition_name,career_code,career_name,fee_amount,fee_text,education_start,education_end,education_location,pre_edu_yn,lecturer,term,register_count,waiting_personnel,application_url,source_url,crawled_at
73405144,AI디지털교육,모집중,[AI디지털교육]숫자가 두렵지 않은 엑셀 완성,서부캠퍼스,AI_DIGITAL,AI디지털교육,WAITING,모집중,LECTURE,교육회원,2026-06-22~2026-08-04,2026-06-22,2026-08-04,,9,20,70629734,디지털기본,CHARGED,유료,,,36000,36000원,2026-08-05,2026-08-21,서부캠퍼스,,이현정,2026년 AI디지털교육,18,20,https://www.50plus.or.kr/education-detail.do?id=73405144&viewCount=12&educationKind=aiDigital,https://www.50plus.or.kr/education-detail.do?id=73405144&viewCount=12&educationKind=aiDigital,2026-07-26T22:09:53
73683787,AI디지털교육,모집중,[AI디지털교육] AI로 나만의 영상 만들어보기②,서부캠퍼스,AI_DIGITAL,AI디지털교육,WAITING,모집중,LECTURE,교육회원,2026-06-22~2026-09-07,2026-06-22,2026-09-07,,43,26,70629767,AI(기초),CHARGED,유료,,,24000,24000원,2026-09-08,2026-09-29,서부캠퍼스,,안찬영,2026년 AI디지털교육,26,26,https://www.50plus.or.kr/education-detail.do?id=73683787&viewCount=12&educationKind=aiDigital,https://www.50plus.or.kr/education-detail.do?id=73683787&viewCount=12&educationKind=aiDigital,2026-07-26T22:09:53
73682559,AI디지털교육,모집중,[AI디지털교육] AI로 데이터 읽고 분석하기,서부캠퍼스,AI_DIGITAL,AI디지털교육,OPEN,모집중,LECTURE,교육회원,2026-06-22~2026-09-01,2026-06-22,2026-09-01,,37,26,70629803,AI(고급),CHARGED,유료,,,36000,36000원,2026-09-02,2026-09-18,서부캠퍼스,,김설아,2026년 AI디지털교육,19,26,https://www.50plus.or.kr/education-detail.do?id=73682559&viewCount=12&educationKind=aiDigital,https://www.50plus.or.kr/education-detail.do?id=73682559&viewCount=12&educationKind=aiDigital,2026-07-26T22:09:53
73681760,AI디지털교육,모집중,"[AI디지털교육] AI로 제안서, 기획서 제대로 쓰기",북부캠퍼스,AI_DIGITAL,AI디지털교육,OPEN,모집중,LECTURE,교육회원,2026-06-22~2026-09-06,2026-06-22,2026-09-06,,42,26,70629990,AI(고급),CHARGED,유료,,,24000,24000원,2026-09-07,2026-09-28,북부캠퍼스,,김희은,2026년 AI디지털교육,14,26,https://www.50plus.or.kr/education-detail.do?id=73681760&viewCount=12&educationKind=aiDigital,https://www.50plus.or.kr/education-detail.do?id=73681760&viewCount=12&educationKind=aiDigital,2026-07-26T22:09:53
73681642,AI디지털교육,모집중,"[AI디지털교육] AI가 도와주는 보고서, 문서 작성",북부캠퍼스,AI_DIGITAL,AI디지털교육,OPEN,모집중,LECTURE,교육회원,2026-06-22~2026-09-01,2026-06-22,2026-09-01,,37,26,70629974,AI(중급),CHARGED,유료,,,36000,36000원,2026-09-02,2026-09-18,북부캠퍼스,,이현용,2026년 AI디지털교육,3,26,https://www.50plus.or.kr/education-detail.do?id=73681642&viewCount=12&educationKind=aiDigital,https://www.50plus.or.kr/education-detail.do?id=73681642&viewCount=12&educationKind=aiDigital,2026-07-26T22:09:53
73680288,AI디지털교육,모집중,"[AI디지털교육] AI로 홍보물 직접 만들기 - 포스터, 카드뉴스",북부캠퍼스,AI_DIGITAL,AI디지털교육,OPEN,모집중,LECTURE,교육회원,2026-06-22~2026-08-31,2026-06-22,2026-08-31,,36,26,70629974,AI(중급),CHARGED,유료,,,36000,36000원,2026-09-01,2026-09-17,북부캠퍼스,,이소정,2026년 AI디지털교육,9,26,https://www.50plus.or.kr/education-detail.do?id=73680288&viewCount=12&educationKind=aiDigital,https://www.50plus.or.kr/education-detail.do?id=73680288&viewCount=12&educationKind=aiDigital,2026-07-26T22:09:53
73679063,AI디지털교육,모집중,"[AI디지털교육] AI로 제안서, 기획서 제대로 쓰기",동부캠퍼스,AI_DIGITAL,AI디지털교육,OPEN,모집중,LECTURE,교육회원,2026-06-22~2026-09-06,2026-06-22,2026-09-06,,42,26,70630057,AI(고급),CHARGED,유료,,,24000,24000원,2026-09-07,2026-09-28,동부캠퍼스,,김희은,2026년 AI디지털교육,19,26,https://www.50plus.or.kr/education-detail.do?id=73679063&viewCount=12&educationKind=aiDigital,https://www.50plus.or.kr/education-detail.do?id=73679063&viewCount=12&educationKind=aiDigital,2026-07-26T22:09:53
73678580,AI디지털교육,모집중,"[AI디지털교육] AI가 도와주는 보고서, 문서 작성",동부캠퍼스,AI_DIGITAL,AI디지털교육,OPEN,모집중,LECTURE,교육회원,2026-06-22~2026-09-01,2026-06-22,2026-09-01,,37,26,70630052,AI(중급),CHARGED,유료,,,36000,36000원,2026-09-02,2026-09-18,동부캠퍼스,,이현용,2026년 AI디지털교육,9,26,https://www.50plus.or.kr/education-detail.do?id=73678580&viewCount=12&educationKind=aiDigital,https://www.50plus.or.kr/education-detail.do?id=73678580&viewCount=12&educationKind=aiDigital,2026-07-26T22:09:53
73678245,AI디지털교육,모집중,"[AI디지털교육] AI로 홍보물 직접 만들기 - 포스터, 카드뉴스",동부캠퍼스,AI_DIGITAL,AI디지털교육,OPEN,모집중,LECTURE,교육회원,2026-06-22~2026-08-31,2026-06-22,2026-08-31,,36,26,70630052,AI(중급),CHARGED,유료,,,36000,36000원,2026-09-01,2026-09-17,동부캠퍼스,,이소정,2026년 AI디지털교육,16,26,https://www.50plus.or.kr/education-detail.do?id=73678245&viewCount=12&educationKind=aiDigital,https://www.50plus.or.kr/education-detail.do?id=73678245&viewCount=12&educationKind=aiDigital,2026-07-26T22:09:53
73674824,AI디지털교육,모집중,[AI디지털교육] AI로 나만의 영상 만들어보기②,남부캠퍼스,AI_DIGITAL,AI디지털교육,OPEN,모집중,LECTURE,교육회원,2026-06-22~2026-09-01,2026-06-22,2026-09-01,,37,26,70629874,AI(기초),CHARGED,유료,,,24000,24000원,2026-09-02,2026-09-23,남부캠퍼스,,기찬,2026년 AI디지털교육,14,26,https://www.50plus.or.kr/education-detail.do?id=73674824&viewCount=12&educationKind=aiDigital,https://www.50plus.or.kr/education-detail.do?id=73674824&viewCount=12&educationKind=aiDigital,2026-07-26T22:09:53
