ann_no,category,recruitment_status,title,provider,business_type_code,business_type_name,recruit_status_code,recruit_status_name,recruit_type_code,recruit_type_name,apply_period,apply_start,apply_end,selection_announcement,dday,recruit_count,occupation_code,occupation_name,work_condition_code,work_condition_name,career_code,career_name,fee_amount,fee_text,education_start,education_end,education_location,pre_edu_yn,lecturer,term,register_count,waiting_personnel,application_url,source_url,crawled_at
73278134,50플러스센터교육,모집중,[취약계층돌봄학교]산후도우미 양성교실 - 6월(신규자 과정),동작센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-27~2026-06-07,2026-05-27,2026-06-07,,11,10,69087252,일활동사업,CHARGED_CONFIRM,유료,,,220000,220000원,2026-06-09,2026-06-18,동작센터,,(주) 해피케어 강사진,2026년 동작 상반기,0,5,https://www.50plus.or.kr/education-detail.do?id=73278134&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73278134&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:06
73248051,50플러스센터교육,모집중,장난감 무상수리서비스(6월),양천센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-27~2026-06-30,2026-05-27,2026-06-30,,34,1000,73244790,일자리사업,FREE_CONFIRM,무료,,,0,0원,2026-06-01,2026-06-30,양천센터,,닥터장난감 전문커뮤니티,2026년 양천 6월 교육과정,0,1000,https://www.50plus.or.kr/education-detail.do?id=73248051&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73248051&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:06
73247075,50플러스센터교육,모집중,반려식물 무료분갈이서비스(6월),양천센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-27~2026-06-29,2026-05-27,2026-06-29,,33,1000,73244790,일자리사업,FREE_CONFIRM,무료,,,0,0원,2026-06-01,2026-06-29,양천센터,,그린헬퍼 전문커뮤니티,2026년 양천 6월 교육과정,0,1000,https://www.50plus.or.kr/education-detail.do?id=73247075&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73247075&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:06
73245443,50플러스센터교육,모집중,자전거 무상점검서비스(6월),양천센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-27~2026-06-30,2026-05-27,2026-06-30,,34,1000,73244790,일자리사업,FREE_CONFIRM,무료,,,0,0원,2026-06-02,2026-06-25,양천센터,,닥터자전거 전문커뮤니티,2026년 양천 6월 교육과정,0,1000,https://www.50plus.or.kr/education-detail.do?id=73245443&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73245443&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:06
73232207,50플러스센터교육,모집중,[서울런 4050 직업역량강화] 스마트 스토어 미리캔버스 디자인 수익화,금천센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-26~2026-06-07,2026-05-26,2026-06-07,,11,12,57199062,일·활동,CHARGED_CONFIRM,유료,,,50000,50000원,2026-06-08,2026-08-10,금천센터,,김충효,2026년 금천 1학기,0,8,https://www.50plus.or.kr/education-detail.do?id=73232207&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73232207&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:06
73193316,50플러스센터교육,모집중,<1기> 중장년 1인 가구 '나의 특별한 밥상' [주말 주간반],관악센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-26~2026-06-02,2026-05-26,2026-06-02,,6,8,73138862,공모사업,FREE_CONFIRM,무료,,,0,0원,2026-06-27,2026-06-27,관악센터,,정향선,2026년 관악 2학기,0,8,https://www.50plus.or.kr/education-detail.do?id=73193316&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73193316&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:06
73160714,50플러스센터교육,모집중,[일활동] 청연 홈클리닝 청소매니저 양성과정 (6.9),성북센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-22~2026-06-08,2026-05-22,2026-06-08,,12,20,69701858,일활동 교육사업,FREE_CONFIRM,무료,,,0,0원,2026-06-09,2026-06-09,성북센터,,청소연구소,2026년 성북 여름학기 (6~7월),2,10,https://www.50plus.or.kr/education-detail.do?id=73160714&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73160714&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:06
73146175,50플러스센터교육,모집중,[ 중장년일자리연구소]일반경비원 신임교육,동작센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-22~2026-06-21,2026-05-22,2026-06-21,,25,10,69087252,일활동사업,CHARGED,유료,,,85000,85000원,2026-06-23,2026-06-25,동작센터,,(주)잡모아 강사진,2026년 동작 상반기,0,0,https://www.50plus.or.kr/education-detail.do?id=73146175&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73146175&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:06
73139177,50플러스센터교육,모집중,<1기> 중장년 1인 가구 '나와 우리들의 행복한 밥상' [평일 야간반],관악센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-26~2026-06-02,2026-05-26,2026-06-02,,6,8,73138862,공모사업,FREE_CONFIRM,무료,,,0,0원,2026-06-08,2026-06-29,관악센터,,최애란,2026년 관악 2학기,0,8,https://www.50plus.or.kr/education-detail.do?id=73139177&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73139177&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:06
73132475,50플러스센터교육,모집중,[성북구민 프로젝트] 성북구 치유의 숲길 (6.8 ~29/월/10시),성북센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-21~2026-06-04,2026-05-21,2026-06-04,,8,15,48757591,인생설계,FREE_CONFIRM,무료,,,0,0원,2026-06-08,2026-06-29,성북센터,,박향미,2025년 성북 여름학기 (5~7월),0,10,https://www.50plus.or.kr/education-detail.do?id=73132475&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73132475&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:06
