ann_no,category,recruitment_status,title,provider,business_type_code,business_type_name,recruit_status_code,recruit_status_name,recruit_type_code,recruit_type_name,apply_period,apply_start,apply_end,selection_announcement,dday,recruit_count,occupation_code,occupation_name,work_condition_code,work_condition_name,career_code,career_name,fee_amount,fee_text,education_start,education_end,education_location,pre_edu_yn,lecturer,term,register_count,waiting_personnel,application_url,source_url,crawled_at
73139177,50플러스센터교육,모집예정,<1기> 중장년 1인 가구 '나와 우리들의 행복한 밥상' [평일 야간반],관악센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-02,2026-05-26,2026-06-02,,9,8,73138862,공모사업,FREE_CONFIRM,무료,,,0,0원,2026-06-08,2026-06-29,관악센터,,최애란,2026년 관악 2학기,0,8,https://www.50plus.or.kr/education-detail.do?id=73139177&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73139177&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73123976,50플러스센터교육,모집예정,바리스타2급 자격과정,동작센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-10,2026-05-26,2026-06-10,,17,12,69087258,인생설계사업,CHARGED,유료,,,60000,60000원,2026-06-16,2026-07-23,동작센터,,이선영,2026년 동작 하반기,0,10,https://www.50plus.or.kr/education-detail.do?id=73123976&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73123976&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73123054,50플러스센터교육,모집예정,커피브루잉 홈카페(핸드드립),동작센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-10,2026-05-26,2026-06-10,,17,12,69087258,인생설계사업,CHARGED,유료,,,20000,20000원,2026-06-18,2026-07-23,동작센터,,이선영,2026년 동작 하반기,0,10,https://www.50plus.or.kr/education-detail.do?id=73123054&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73123054&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73046965,50플러스센터교육,모집예정,1:1 컨설턴트 생애설계 전문 상담,용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-08-31,2026-05-26,2026-08-31,,99,30,72751741,인생설계,FREE_CONFIRM,무료,,,0,0원,2026-08-31,2026-08-31,용산센터,,용산50+ 직업상담사,2026년 용산 2분기(6월~8월),0,0,https://www.50plus.or.kr/education-detail.do?id=73046965&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73046965&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73036454,50플러스센터교육,모집예정,"﻿[특강] 4060을 위한 실전 JOB 아트테크: ""1,000만 원부터 1만 원까지, 미술 시장 정복하기""",용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-10,2026-05-26,2026-06-10,,17,60,72751743,일활동지원,FREE_CONFIRM,무료,,,0,0원,2026-06-11,2026-06-11,용산센터,,신원섭,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=73036454&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73036454&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
72854536,50플러스센터교육,모집예정,[2026 찾아가는 호스피스 강좌]  마음을 채우는 따뜻한 돌봄-호스피스 완화의료,강동센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-10,2026-05-26,2026-06-10,,17,25,55014700,인생설계,FREE_CONFIRM,무료,,,0,0원,2026-06-16,2026-06-16,강동센터,,김기철,2026년 강동 봄학기(3~6월),0,20,https://www.50plus.or.kr/education-detail.do?id=72854536&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72854536&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
72820626,50플러스센터교육,모집예정,[웰니스] 천천히 나이 드는 피부를 만드는 아주 작은 습관의 힘 -피부과 정진호 교수 특강-,용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-29,2026-05-26,2026-06-29,,36,60,72751741,인생설계,CHARGED_CONFIRM,유료,,,5000,5000원,2026-06-30,2026-06-30,용산센터,,정진호,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=72820626&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72820626&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
72780053,50플러스센터교육,모집예정,[재무] 문재완 세무사의 상속·증여 전략 특강,용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-07-06,2026-05-26,2026-07-06,,43,60,72751741,인생설계,CHARGED_CONFIRM,유료,,,5000,5000원,2026-07-07,2026-07-07,용산센터,,문재완,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=72780053&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72780053&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
72770071,50플러스센터교육,모집예정,[행복더함] 점성학과 함께 배우는 타로,성북센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-06-02~2026-06-17,2026-06-02,2026-06-17,,24,15,69701845,인생설계 교육사업,CHARGED_CONFIRM,유료,,,5000,5000원,2026-06-23,2026-07-28,성북센터,,박자영,2026년 성북 여름학기 (6~7월),0,20,https://www.50plus.or.kr/education-detail.do?id=72770071&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72770071&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
72767424,50플러스센터교육,모집예정,구직자 대상 특강-AI시대 구직서류·면접 실전 클리닉,용산센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-18,2026-05-26,2026-06-18,,25,16,72751741,인생설계,CHARGED_CONFIRM,유료,,,15000,15000원,2026-06-19,2026-07-03,용산센터,,이선명,2026년 용산 2분기(6월~8월),0,10,https://www.50plus.or.kr/education-detail.do?id=72767424&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72767424&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
