ann_no,category,recruitment_status,title,provider,business_type_code,business_type_name,recruit_status_code,recruit_status_name,recruit_type_code,recruit_type_name,apply_period,apply_start,apply_end,selection_announcement,dday,recruit_count,occupation_code,occupation_name,work_condition_code,work_condition_name,career_code,career_name,fee_amount,fee_text,education_start,education_end,education_location,pre_edu_yn,application_url,source_url,crawled_at
1556,취업훈련,모집중,속성반 「라이프케어 전문가(가사관리사) 양성과정 2기」 참여자 모집 공고,[중부캠퍼스x동작50플러스센터],IN49009,직업훈련,IN17003,신청·접수중,IN47002,개인회원,2026-05-19~2026-06-14,2026051911,2026061424,,-21,25,IN59012,기타,IN60005,기타,ANY,경력무관,0,,2026-06-24,2026-07-03,,N,https://www.50plus.or.kr/in_appView.do?ANN_NO=1556,https://www.50plus.or.kr/in_appView.do?ANN_NO=1556,2026-05-24T14:51:05
1551,취업훈련,모집중,속성반 「서울시 건강동행 매니저 과정(2기)」 참여자 모집 공고,[서부캠퍼스x서브온],IN49009,직업훈련,IN17003,신청·접수중,IN47002,개인회원,2026-05-18~2026-06-04,2026051809,2026060417,2026-06-09(화) 16시 이후,-11,30,IN59004,의료/보건/사회복지,IN60005,기타,ANY,경력무관,,.,2026-06-15,2026-06-19,서울시50플러스서부캠퍼스,N,https://www.50plus.or.kr/in_appView.do?ANN_NO=1551,https://www.50plus.or.kr/in_appView.do?ANN_NO=1551,2026-05-24T14:51:05
1498,취업훈련,모집중,정규반 「AI 데이터 큐레이터 양성과정」참여자 모집,[동부캠퍼스×주식회사 에이아이웍스],IN49009,직업훈련,IN17003,신청·접수중,IN47002,개인회원,2026-04-30~2026-06-26,2026043009,2026062616,2026. 7. 7.(화) 16시 이후,-33,25,IN59010,IT/정보통신/웹,IN60005,기타,,,,.,2026-07-13,2026-08-19,,N,https://www.50plus.or.kr/in_appView.do?ANN_NO=1498,https://www.50plus.or.kr/in_appView.do?ANN_NO=1498,2026-05-24T14:51:05
1469,취업훈련,모집중,정규반 「지게차 자격증 취득 및 현장 실무과정」2차 참여자 모집,북부캠퍼스 중장년취업사관학교 X 현대중장비운전전문학원,IN49009,직업훈련,IN17003,신청·접수중,IN47002,개인회원,2026-05-13~2026-06-21,2026051314,2026062121,2026.6.29. 16시,-28,30,IN59009,건설/건축/환경/산업,IN60005,기타,ANY,경력무관,0,,2026-07-06,2026-08-07,(이론)북부캠퍼스  (실기)현대중장비운전전문학원,N,https://www.50plus.or.kr/in_appView.do?ANN_NO=1469,https://www.50plus.or.kr/in_appView.do?ANN_NO=1469,2026-05-24T14:51:05
1464,취업훈련,모집중,정규반「전기기능사 및 소방안전관리자2급 자격증 취득과정」 참여자 모집,[북부캠퍼스X모아교육그룹],IN49009,직업훈련,IN17003,신청·접수중,IN47002,개인회원,2026-04-30~2026-05-25,2026043009,2026052521,5.28. 16시이후,-1,20,IN59012,기타,IN60001,정규직,ANY,경력무관,0,,2026-06-01,2026-08-28,모아교육그룹,N,https://www.50plus.or.kr/in_appView.do?ANN_NO=1464,https://www.50plus.or.kr/in_appView.do?ANN_NO=1464,2026-05-24T14:51:05
1461,취업훈련,모집중,정규반 「비수기 없는 사계절 홈케어 기술 창업과정」참여자 모집,[남부캠퍼스x뚝딱홈케어아카데미학원],IN49009,직업훈련,IN17003,신청·접수중,IN47002,개인회원,2026-04-30~2026-07-10,2026043009,2026071017,2026-7-17(금) 17시 이후,-47,20,IN59009,건설/건축/환경/산업,IN60004,파트타임,ANY,경력무관,0,,2026-08-03,2026-08-25,"(1회차, 14회차,15회차,16회차) 남부캠퍼스, (2회차~13회차) 뚝딱홈케어아카데미학원",N,https://www.50plus.or.kr/in_appView.do?ANN_NO=1461,https://www.50plus.or.kr/in_appView.do?ANN_NO=1461,2026-05-24T14:51:05
1460,취업훈련,모집중,속성반 「컨택센터 상담원 양성과정」 참여자 모집 공고,[남부캠퍼스x(주)트랜스코스모스코리],IN49009,직업훈련,IN17003,신청·접수중,IN47002,개인회원,2026-05-04~2026-05-29,2026050409,2026052916,2026. 6. 9. (화) 16시 이후,-5,25,IN59008,영업/판매/고객상담/CS,IN60005,기타,ANY,경력무관,0,,2026-06-15,2026-06-19,서울시50플러스 남부캠퍼스 3-1,N,https://www.50plus.or.kr/in_appView.do?ANN_NO=1460,https://www.50plus.or.kr/in_appView.do?ANN_NO=1460,2026-05-24T14:51:05
1454,취업훈련,모집중,정규반 「항공 및 국가중요시설 보안인력 양성과정」참여자 모집,[남부캠퍼스x(사)대한민국항공보안협회],IN49009,직업훈련,IN17003,신청·접수중,IN47002,개인회원,2026-04-30~2026-05-25,2026043009,2026052516,2026-06-01(월) 16시 이후,-1,30,IN59011,숙박/음식/여행/스포츠/경비청소,IN60005,기타,ANY,경력무관,0,,2026-06-05,2026-07-10,"남부캠퍼스, 한국보안인재개발원,  특수경비교육원",N,https://www.50plus.or.kr/in_appView.do?ANN_NO=1454,https://www.50plus.or.kr/in_appView.do?ANN_NO=1454,2026-05-24T14:51:05
1449,취업훈련,모집중,정규반 「전기설비 기술인력 양성과정」 참여자 모집 공고,[중부캠퍼스x한국폴리텍I대학 산학협력단],IN49009,직업훈련,IN17003,신청·접수중,IN47002,개인회원,2026-04-27~2026-06-07,2026042709,2026060724,2026.6.16(화) 15시,-14,25,IN59012,기타,IN60005,기타,ANY,경력무관,0,,,,,N,https://www.50plus.or.kr/in_appView.do?ANN_NO=1449,https://www.50plus.or.kr/in_appView.do?ANN_NO=1449,2026-05-24T14:51:05
1448,취업훈련,모집중,정규반 「AI 데이터 실무 전문가 양성과정」 참여자 모집 공고,[중부캠퍼스x한국HRD기업협회],IN49009,직업훈련,IN17003,신청·접수중,IN47002,개인회원,2026-04-29~2026-06-07,2026042909,2026060724,2026-06-12(금) 17시 이후 ,-14,25,IN59001,경영/금융/사무/보험,IN60005,기타,ANY,경력무관,0,,2026-06-17,2026-07-31,,N,https://www.50plus.or.kr/in_appView.do?ANN_NO=1448,https://www.50plus.or.kr/in_appView.do?ANN_NO=1448,2026-05-24T14:51:05
