ann_no,title,company_or_org,business_type_code,business_type_name,recruit_status_code,recruit_status_name,recruit_type_code,recruit_type_name,apply_period,apply_start,apply_end,dday,recruit_count,occupation_code,occupation_name,work_condition_code,work_condition_name,career_code,career_name,pay_hourly,pay_text,event_date_start,event_date_end,event_location,pre_edu_yn,source_url,crawled_at
1569,[긴급]노원50+센터 정규직 직원(신입 또는 경력)채용 공고,,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-05-20~2026-05-27,2026052009,2026052718,0,1,IN59004,의료/보건/사회복지,IN60001,정규직,ANY,경력무관,,,,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1569,2026-05-27T17:53:44
1554,[시니어채용] 서울강남시니어클럽 지하철택배 및 카드 배송 시니어 모집,서울강남시니어클럽,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-05-19~2026-06-19,2026051909,2026061918,-23,10,IN59012,기타,IN60002,계약직,ANY,경력무관,,평균 60만원,,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1554,2026-05-27T17:53:44
1541,서초택시 [카카오T 블루 택시 기사님 모집 - 정규직 신입/경력],서초택시,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-05-11~2026-06-07,2026051113,2026060724,-11,20,IN59012,기타,IN60001,정규직,ANY,경력무관,,,,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1541,2026-05-27T17:53:44
1540,업사이클 전문기업 홍보 마케팅 전담 경력직원 채용 (정규직 전환 인턴),터치포굿,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-05-10~2026-06-14,2026051019,2026061424,-18,1,IN59005,마케팅/무역,IN60003,인턴직,EXPERIENCED,경력,," 2,156,880",,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1540,2026-05-27T17:53:44
1539,업사이클 디자이너/ 생산관리  인재 모집사이클 디자이너/ 생산 (정규직 전환 인턴),터치포굿,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-05-10~2026-06-14,2026051019,2026061424,-18,1,IN59007,문화/예술/신문방송/디자인,IN60003,인턴직,EXPERIENCED,경력,," 2,156,880",,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1539,2026-05-27T17:53:44
1538,업사이클 기반 ESG 기획팀 모집 (정규직 전환 인턴십),터치포굿,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-05-10~2026-06-14,2026051019,2026061424,-18,1,IN59008,영업/판매/고객상담/CS,IN60003,인턴직,EXPERIENCED,경력,," 2,156,880",,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1538,2026-05-27T17:53:44
1537,터치포굿 도시형 환경교육센터의 인재를 모집니다 (정규직 전환  인턴십),터치포굿,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-05-10~2026-06-30,2026051019,2026063024,-34,1,IN59003,교육/강사/연구/법률,IN60003,인턴직,EXPERIENCED,경력,," 2,156,880",,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1537,2026-05-27T17:53:44
1536,스쿨버스 인사 HR 담당자 / 경영지원 담당자,주식회사 스쿨버스,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-05-08~2026-06-30,2026050800,2026063024,-34,1,IN59010,IT/정보통신/웹,IN60002,계약직,ANY,경력무관,11000,,,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1536,2026-05-27T17:53:44
1535,어린이 통학 차량 운전자/동승보호자 모집,주식회사 스쿨버스,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-04-09~2026-06-30,2026040900,2026063024,-34,20,IN59010,IT/정보통신/웹,IN60002,계약직,ANY,경력무관,11000,,,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1535,2026-05-27T17:53:44
1470,청소관리자 채용,(주)디옵티멀그린,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-04-29~2026-05-31,2026042900,2026053124,-4,1,IN59012,기타,IN60001,정규직,ANY,경력무관,,"2,500,000",,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1470,2026-05-27T17:53:44
1455,[사단법인 해피기버] 2026년 대면모금활동가(영업직군) NGO 신입사원 공개채용,사단법인 해피기버,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-04-27~2026-10-31,2026042700,2026103124,-157,0,IN59008,영업/판매/고객상담/CS,IN60002,계약직,ANY,경력무관,,"2,300,000",,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1455,2026-05-27T17:53:44
1450,"삼성MNS 삼성 복합기 서비스 사원 모집(사무기기 엔지니어, 초보자 가능)",(주)삼성엠앤에스,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-04-24~2026-06-30,2026042400,2026063024,-34,1,IN59008,영업/판매/고객상담/CS,IN60001,정규직,ANY,경력무관,,,,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1450,2026-05-27T17:53:44
1432,택시기사 정규직 모집,,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-04-21~2026-07-20,2026042100,2026072024,-54,20,IN59012,기타,IN60001,정규직,ANY,경력무관,,,,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1432,2026-05-27T17:53:44
1343,"경영지원 재무회계,경리업무 담당자 모집",주식회사 스쿨버스,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-03-27~2026-05-31,2026032717,2026053124,-4,1,IN59010,IT/정보통신/웹,IN60002,계약직,ANY,경력무관,,,,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1343,2026-05-27T17:53:44
1342,UI/UX기획 및 디자인 담당자,주식회사 스쿨버스,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-03-27~2026-05-31,2026032700,2026053124,-4,1,IN59010,IT/정보통신/웹,IN60002,계약직,ANY,경력무관,,,,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1342,2026-05-27T17:53:44
1247,2026 메가 트렌드 파크골프 용품 판매 담당자 모집,(주)텔유어월드,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-03-03~2026-12-31,2026030300,2026123124,-218,10,IN59008,영업/판매/고객상담/CS,IN60002,계약직,ANY,경력무관,12121,,,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1247,2026-05-27T17:53:44
1207,효건 주식회사 부동산 관리·고객상담팀 신입·경력 채용,효건주식회사,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-02-19~2026-09-30,2026021909,2026093024,-126,100,IN59005,마케팅/무역,IN60005,기타,ANY,경력무관,,회사 내규에 따름,,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1207,2026-05-27T17:53:44
1157,[서울/경기/인천] 가사/청소/홈케어 매니저님 모집 | 시급 1.5만 원,주식회사 열다컴퍼니,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-01-23~2027-01-23,2026012300,2027012324,-241,0,IN59012,기타,IN60004,파트타임,EXPERIENCED,경력,15000,,,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1157,2026-05-27T17:53:44
1155,2026 노인일자리 참여자 모집,(사)한국가사노동자협회,IN49008,민간채용공고,IN17003,신청·접수중,IN47002,개인회원,2026-01-23~2026-12-31,2026012316,2026123124,-218,40,IN59012,기타,IN60002,계약직,ANY,경력무관,17000,,,,,,https://www.50plus.or.kr/in_appView.do?ANN_NO=1155,2026-05-27T17:53:44
